index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set
68,0.520331847,0.5,1.2,1.2,1.0,17.22,2.78,39,0,Training
69,0.618715365,0.5,1.1,1.1,1.0,17.22,2.78,39,0,Training
70,0.701260448,0.5,1.0,1.0,1.0,17.22,2.78,39,0,Training
71,0.532585739,0.5,1.11,1.0,0.9,17.22,2.78,39,0,Training
72,1.316409005,0.5,1.25,1.0,0.8,17.22,2.78,39,0,Training
73,0.430536075,0.5,1.2,1.2,1.0,20.0,3.89,35,7,Validation
74,0.528664002,0.5,1.1,1.1,1.0,20.0,3.89,35,7,Training
75,0.629452696,0.5,1.0,1.0,1.0,20.0,3.89,35,7,Training
76,0.470710945,0.5,1.11,1.0,0.9,20.0,3.89,35,7,Validation
77,1.179071417,0.5,1.25,1.0,0.8,20.0,3.89,35,7,Training
78,0.432386117,0.5,1.2,1.2,1.0,17.78,6.11,45,13,Validation
79,0.483637812,0.5,1.1,1.1,1.0,17.78,6.11,45,13,Validation
80,0.631244487,0.5,1.0,1.0,1.0,17.78,6.11,45,13,Training
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training
83,0.425753015,0.5,1.2,1.2,1.0,12.22,2.78,54,20,Validation
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training
85,0.437369792,0.5,1.11,1.0,0.9,12.22,2.78,54,20,Validation
86,1.147635124,0.5,1.25,1.0,0.8,12.22,2.78,54,20,Training
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training
88,0.49736583,0.5,1.1,1.1,1.0,15.0,3.89,48,21,Training
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26,Training
93,0.56834793,0.5,1.0,1.0,1.0,17.22,5.0,45,26,Validation
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training
95,1.09658479,0.5,1.25,1.0,0.8,17.22,5.0,45,26,Validation
96,0.386665943,0.5,1.2,1.2,1.0,16.11,8.89,63,47,Validation
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training
98,0.591496449,0.5,1.0,1.0,1.0,16.11,8.89,63,47,Validation
99,0.416701285,0.5,1.11,1.0,0.9,16.11,8.89,63,47,Validation
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69,Training
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training
104,0.989863056,0.5,1.25,1.0,0.8,12.78,7.78,72,69,Validation
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training
108,0.372614967,0.5,1.2,1.2,1.0,12.22,10.0,88,98,Training
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training
111,0.388483675,0.5,1.11,1.0,0.9,12.22,10.0,88,98,Validation
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98,Training
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104,Training
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111,Training
121,0.941690931,0.5,1.25,1.0,0.8,16.11,2.78,42,111,Training
122,0.352322598,0.5,1.2,1.2,1.0,16.11,8.89,63,118,Training
123,0.403766566,0.5,1.1,1.1,1.0,16.11,8.89,63,118,Training
124,0.366227516,0.5,1.11,1.0,0.9,16.11,8.89,63,118,Validation
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125,Training
126,0.429654858,0.5,1.1,1.1,1.0,15.0,11.11,77,125,Validation
127,0.3570133,0.5,1.11,1.0,0.9,15.0,11.11,77,125,Validation
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132,Training
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132,Training
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132,Training
131,0.37035753,0.5,1.11,1.0,0.9,17.22,10.0,63,132,Training
132,0.967710542,0.5,1.25,1.0,0.8,17.22,10.0,63,132,Validation
133,0.368956741,0.5,1.2,1.2,1.0,12.78,11.11,88,139,Validation
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139,Training
135,0.576230706,0.5,1.0,1.0,1.0,12.78,11.11,88,139,Validation
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139,Training
137,0.879525394,0.5,1.25,1.0,0.8,12.78,11.11,88,139,Training
138,0.355417298,0.5,1.2,1.2,1.0,15.0,12.22,82,146,Training
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146,Training
140,0.563189777,0.5,1.0,1.0,1.0,15.0,12.22,82,146,Training
141,0.354058686,0.5,1.11,1.0,0.9,15.0,12.22,82,146,Training
142,0.919770884,0.5,1.25,1.0,0.8,15.0,12.22,82,146,Training
143,0.353683633,0.5,1.2,1.2,1.0,12.78,6.11,63,153,Training
144,0.586818948,0.5,1.0,1.0,1.0,12.78,6.11,63,153,Training
145,0.356698391,0.5,1.2,1.2,1.0,17.22,12.78,77,160,Training
146,0.385475764,0.5,1.1,1.1,1.0,17.22,12.78,77,160,Validation
147,0.555027614,0.5,1.0,1.0,1.0,17.22,12.78,77,160,Training
148,0.328186539,0.5,1.11,1.0,0.9,17.22,12.78,77,160,Training
149,0.804604174,0.5,1.25,1.0,0.8,17.22,12.78,77,160,Validation
150,0.370432077,0.5,1.2,1.2,1.0,18.89,10.0,56,174,Training
151,0.439298807,0.5,1.1,1.1,1.0,18.89,10.0,56,174,Training
152,0.560664302,0.5,1.0,1.0,1.0,18.89,10.0,56,174,Training
153,0.344411681,0.5,1.11,1.0,0.9,18.89,10.0,56,174,Training
154,0.854300392,0.5,1.25,1.0,0.8,18.89,10.0,56,174,Training
155,0.364228311,0.5,1.2,1.2,1.0,15.0,13.89,94,181,Training
156,0.430383646,0.5,1.1,1.1,1.0,15.0,13.89,94,181,Training
157,0.460062653,0.5,1.0,1.0,1.0,15.0,13.89,94,181,Training
158,0.265207881,0.5,1.11,1.0,0.9,15.0,13.89,94,181,Training
159,0.766864312,0.5,1.25,1.0,0.8,15.0,13.89,94,181,Training
160,0.389181708,0.5,1.1,1.1,1.0,22.78,12.22,50,188,Validation
161,0.493845342,0.5,1.0,1.0,1.0,22.78,12.22,50,188,Validation
162,0.29017084,0.5,1.11,1.0,0.9,22.78,12.22,50,188,Training
163,0.703070694,0.5,1.25,1.0,0.8,22.78,12.22,50,188,Training
164,0.452497191,0.5,1.0,1.0,1.0,22.78,18.89,78,195,Training
165,0.3175822,0.5,1.11,1.0,0.9,22.78,18.89,78,195,Training
166,0.326595166,0.5,1.2,1.2,1.0,22.78,6.11,33,202,Training
