index,quantity DS HTL,P3HT,PCBM,temperature,dew point,hummidity,pressure,time,ratio P3HT:PCBM
151,0.15,0.9,1.2000000000000002,17.22,2.78,39.0,1007.79,0.0,0.7499999999999999
152,0.15,0.9,1.2000000000000002,17.22,2.78,39.0,1007.79,1.0,0.7499999999999999
153,0.15,0.9,1.2000000000000002,17.22,2.78,39.0,1007.79,2.0,0.7499999999999999
154,0.15,0.9,1.2000000000000002,17.22,2.78,39.0,1007.79,3.0,0.7499999999999999
155,0.15,0.9,1.2000000000000002,17.22,2.78,39.0,1007.79,4.0,0.7499999999999999
156,0.15,0.9,1.2000000000000002,17.22,2.78,39.0,1007.79,5.0,0.7499999999999999
157,0.15,0.9,1.3,17.22,2.78,39.0,1007.79,0.0,0.6923076923076923
158,0.15,0.9,1.3,17.22,2.78,39.0,1007.79,1.0,0.6923076923076923
159,0.15,0.9,1.3,17.22,2.78,39.0,1007.79,2.0,0.6923076923076923
160,0.15,0.9,1.3,17.22,2.78,39.0,1007.79,3.0,0.6923076923076923
161,0.15,0.9,1.3,17.22,2.78,39.0,1007.79,4.0,0.6923076923076923
162,0.15,0.9,1.3,17.22,2.78,39.0,1007.79,5.0,0.6923076923076923
163,0.15,0.9,1.4000000000000001,17.22,2.78,39.0,1007.79,0.0,0.6428571428571428
164,0.15,0.9,1.4000000000000001,17.22,2.78,39.0,1007.79,1.0,0.6428571428571428
165,0.15,0.9,1.4000000000000001,17.22,2.78,39.0,1007.79,2.0,0.6428571428571428
166,0.15,0.9,1.4000000000000001,17.22,2.78,39.0,1007.79,3.0,0.6428571428571428
167,0.15,0.9,1.4000000000000001,17.22,2.78,39.0,1007.79,4.0,0.6428571428571428
168,0.15,0.9,1.4000000000000001,17.22,2.78,39.0,1007.79,5.0,0.6428571428571428
169,0.15,0.9,1.5,17.22,2.78,39.0,1007.79,0.0,0.6
170,0.15,0.9,1.5,17.22,2.78,39.0,1007.79,1.0,0.6
171,0.15,0.9,1.5,17.22,2.78,39.0,1007.79,2.0,0.6
172,0.15,0.9,1.5,17.22,2.78,39.0,1007.79,3.0,0.6
173,0.15,0.9,1.5,17.22,2.78,39.0,1007.79,4.0,0.6
