index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139,Training,0.4336047469711053
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139,Training,0.2847230180669278
137,0.879525394,0.5,1.25,1.0,0.8,12.78,11.11,88,139,Training,0.8859529954912857
138,0.355417298,0.5,1.2,1.2,1.0,15.0,12.22,82,146,Training,0.29525576274411747
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146,Training,0.4488012423135057
140,0.563189777,0.5,1.0,1.0,1.0,15.0,12.22,82,146,Training,0.602346721882894
141,0.354058686,0.5,1.11,1.0,0.9,15.0,12.22,82,146,Training,0.2999195134093282
142,0.919770884,0.5,1.25,1.0,0.8,15.0,12.22,82,146,Training,0.901149490833687
143,0.353683633,0.5,1.2,1.2,1.0,12.78,6.11,63,153,Training,0.2202114307154195
144,0.586818948,0.5,1.0,1.0,1.0,12.78,6.11,63,153,Training,0.5273023898541955
145,0.356698391,0.5,1.2,1.2,1.0,17.22,12.78,77,160,Training,0.2946228088627818
147,0.555027614,0.5,1.0,1.0,1.0,17.22,12.78,77,160,Training,0.6017137680015587
148,0.328186539,0.5,1.11,1.0,0.9,17.22,12.78,77,160,Training,0.29928655952799277
150,0.370432077,0.5,1.2,1.2,1.0,18.89,10.0,56,174,Training,0.2662888054403403
151,0.439298807,0.5,1.1,1.1,1.0,18.89,10.0,56,174,Training,0.41983428500972864
152,0.560664302,0.5,1.0,1.0,1.0,18.89,10.0,56,174,Training,0.5733797645791168
153,0.344411681,0.5,1.11,1.0,0.9,18.89,10.0,56,174,Training,0.2709525561055508
154,0.854300392,0.5,1.25,1.0,0.8,18.89,10.0,56,174,Training,0.8721825335299089
155,0.364228311,0.5,1.2,1.2,1.0,15.0,13.89,94,181,Training,0.237338083323537
156,0.430383646,0.5,1.1,1.1,1.0,15.0,13.89,94,181,Training,0.39088356289292514
157,0.460062653,0.5,1.0,1.0,1.0,15.0,13.89,94,181,Training,0.5444290424623139
158,0.265207881,0.5,1.11,1.0,0.9,15.0,13.89,94,181,Training,0.2420018339887473
159,0.766864312,0.5,1.25,1.0,0.8,15.0,13.89,94,181,Training,0.8432318114131061
162,0.29017084,0.5,1.11,1.0,0.9,22.78,12.22,50,188,Training,0.2972757497531284
163,0.703070694,0.5,1.25,1.0,0.8,22.78,12.22,50,188,Training,0.8985057271774866
164,0.452497191,0.5,1.0,1.0,1.0,22.78,18.89,78,195,Training,0.6256207635623754
165,0.3175822,0.5,1.11,1.0,0.9,22.78,18.89,78,195,Training,0.3231935550888094
166,0.326595166,0.5,1.2,1.2,1.0,22.78,6.11,33,202,Training,0.231864296162138
