index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training,0.5905795506470547
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training,0.3675237511920796
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training,1.041726640961648
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training,0.4061799505789859
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training,0.4956606531744495
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training,0.6274969989334525
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111,Training,0.4617055644213821
121,0.941690931,0.5,1.25,1.0,0.8,16.11,2.78,42,111,Training,1.1294774845211566
122,0.352322598,0.5,1.2,1.2,1.0,16.11,8.89,63,118,Training,0.3530257253095678
123,0.403766566,0.5,1.1,1.1,1.0,16.11,8.89,63,118,Training,0.46385855958591604
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125,Training,0.37119652113625445
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132,Training,0.3870877041150316
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132,Training,0.4570521222501056
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132,Training,0.5646736661741854
131,0.37035753,0.5,1.11,1.0,0.9,17.22,10.0,63,132,Training,0.35208412434696335
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139,Training,0.48010429799956
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139,Training,0.3867881738756962
137,0.879525394,0.5,1.25,1.0,0.8,12.78,11.11,88,139,Training,0.95973081536288
138,0.355417298,0.5,1.2,1.2,1.0,15.0,12.22,82,146,Training,0.35924190322055993
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146,Training,0.4535228780626124
