index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training,0.5373222987000001
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training,0.38337144805
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training,0.4684141984
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training,0.5399968468
111,0.388483675,0.5,1.11,1.0,0.9,12.22,10.0,88,98,Training,0.37677272525
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98,Training,0.9784660915000002
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104,Training,0.37204984575
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training,0.56402639225
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training,0.37369579515
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training,1.0059269025000002
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training,0.36708911484999995
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training,0.44944557085000003
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training,0.5787982173999999
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111,Training,0.3792726484999999
121,0.941690931,0.5,1.25,1.0,0.8,16.11,2.78,42,111,Training,1.0010679328000003
122,0.352322598,0.5,1.2,1.2,1.0,16.11,8.89,63,118,Training,0.35919571049999993
123,0.403766566,0.5,1.1,1.1,1.0,16.11,8.89,63,118,Training,0.41835702015000004
124,0.366227516,0.5,1.11,1.0,0.9,16.11,8.89,63,118,Training,0.36363291870000003
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125,Training,0.35965945699999996
126,0.429654858,0.5,1.1,1.1,1.0,15.0,11.11,77,125,Training,0.42633130880000003
127,0.3570133,0.5,1.11,1.0,0.9,15.0,11.11,77,125,Training,0.36244827125000006
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132,Training,0.36312358004999984
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132,Training,0.427791901
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132,Training,0.5555104038999998
131,0.37035753,0.5,1.11,1.0,0.9,17.22,10.0,63,132,Training,0.36403994954999996
132,0.967710542,0.5,1.25,1.0,0.8,17.22,10.0,63,132,Training,0.9432852120499999
133,0.368956741,0.5,1.2,1.2,1.0,12.78,11.11,88,139,Training,0.36816893829999997
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139,Training,0.44399621955000007
135,0.576230706,0.5,1.0,1.0,1.0,12.78,11.11,88,139,Training,0.5656116146000001
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139,Training,0.36938031325000004
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146,Training,0.43267032389999993
140,0.563189777,0.5,1.0,1.0,1.0,15.0,12.22,82,146,Training,0.5452870885500001
141,0.354058686,0.5,1.11,1.0,0.9,15.0,12.22,82,146,Training,0.3428074655500001
142,0.919770884,0.5,1.25,1.0,0.8,15.0,12.22,82,146,Training,0.90330108315
143,0.353683633,0.5,1.2,1.2,1.0,12.78,6.11,63,153,Training,0.3588773988
144,0.586818948,0.5,1.0,1.0,1.0,12.78,6.11,63,153,Training,0.5672597832999998
145,0.356698391,0.5,1.2,1.2,1.0,17.22,12.78,77,160,Training,0.3574428232000001
146,0.385475764,0.5,1.1,1.1,1.0,17.22,12.78,77,160,Training,0.4130038830999999
147,0.555027614,0.5,1.0,1.0,1.0,17.22,12.78,77,160,Training,0.5249467634
148,0.328186539,0.5,1.11,1.0,0.9,17.22,12.78,77,160,Training,0.3439822172
150,0.370432077,0.5,1.2,1.2,1.0,18.89,10.0,56,174,Training,0.36220254135000013
151,0.439298807,0.5,1.1,1.1,1.0,18.89,10.0,56,174,Training,0.45552997615000007
152,0.560664302,0.5,1.0,1.0,1.0,18.89,10.0,56,174,Training,0.5921300807999998
153,0.344411681,0.5,1.11,1.0,0.9,18.89,10.0,56,174,Training,0.34963431520000005
154,0.854300392,0.5,1.25,1.0,0.8,18.89,10.0,56,174,Training,0.8583636260499998
155,0.364228311,0.5,1.2,1.2,1.0,15.0,13.89,94,181,Training,0.34641838135
156,0.430383646,0.5,1.1,1.1,1.0,15.0,13.89,94,181,Training,0.42102459769999995
157,0.460062653,0.5,1.0,1.0,1.0,15.0,13.89,94,181,Training,0.50884951485
158,0.265207881,0.5,1.11,1.0,0.9,15.0,13.89,94,181,Training,0.3257919588
159,0.766864312,0.5,1.25,1.0,0.8,15.0,13.89,94,181,Training,0.82242436755
160,0.389181708,0.5,1.1,1.1,1.0,22.78,12.22,50,188,Training,0.4448468992
161,0.493845342,0.5,1.0,1.0,1.0,22.78,12.22,50,188,Training,0.5782611563500001
162,0.29017084,0.5,1.11,1.0,0.9,22.78,12.22,50,188,Training,0.3623810581500001
163,0.703070694,0.5,1.25,1.0,0.8,22.78,12.22,50,188,Training,0.8411305927500001
164,0.452497191,0.5,1.0,1.0,1.0,22.78,18.89,78,195,Training,0.5627418701000001
165,0.3175822,0.5,1.11,1.0,0.9,22.78,18.89,78,195,Training,0.3633529055000001
166,0.326595166,0.5,1.2,1.2,1.0,22.78,6.11,33,202,Training,0.38806678385
